time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
22/10/2020/10:08:35,1.79888,1.56711,4.018,0.055038,0.0469071
22/10/2020/10:31:41,0.232555,20.7527,22.1021,0.067867,0.037132
22/10/2020/10:33:15,1.15407,41.1897,42.3438,0.058738,0.0376921
22/10/2020/10:34:17,4.71752,9.35603,18.9172,0.058405,0.0321657
22/10/2020/10:35:17,6.80985,13.2141,20.0239,0.058522,0.0351306
22/10/2020/10:36:17,6.06186,9.66029,18.2423,0.059018,0.0337537
22/10/2020/10:37:00,0.234644,8.74695,8.9816,0.057108,0.0367682
22/10/2020/10:38:32,3.12992,21.8124,35.3895,0.059395,0.0306854
22/10/2020/10:39:15,0.834627,5.44037,8.40278,0.060046,0.0348622
22/10/2020/10:39:59,0,9.8033,9.80331,0.059062,0.0366799
22/10/2020/10:40:41,0.607691,5.31363,8.00242,0.058449,0.0373554
22/10/2020/10:41:47,0.141996,19.0318,23.3883,0.061039,0.0351186
22/10/2020/10:43:19,0.218387,35.8413,38.3102,0.062017,0.0338049
22/10/2020/10:44:23,0.259406,16.1162,19.9703,0.061783,0.0326011
22/10/2020/10:45:56,1.81844,25.4767,37.3774,0.073442,0.0330965
22/10/2020/10:46:59,3.27192,12.1684,18.508,0.057903,0.0298564
22/10/2020/10:47:33,1.0375,1.87433,2.91183,0.056988,0.0346617
22/10/2020/10:48:15,1.04723,6.40104,8.35891,0.058325,0.0338188
22/10/2020/10:49:48,0.425614,26.9031,36.0782,0.061162,0.0318515
22/10/2020/10:51:22,0.314414,34.0121,36.7127,0.061793,0.0324484
22/10/2020/10:52:56,2.30595,29.1447,35.8089,0.058769,0.0317979
22/10/2020/10:54:00,6.70878,12.3328,19.7464,0.059038,0.030908
22/10/2020/10:55:00,5.4669,10.2989,17.7031,0.09739,0.0332155
22/10/2020/10:56:34,1.6014,37.3379,38.9393,0.059779,0.0349282
22/10/2020/10:58:06,0.250049,29.8676,37.1278,0.060309,0.0323384
22/10/2020/10:59:10,0.246142,16.3595,19.3656,0.05762,0.0310832
22/10/2020/11:01:05,2.29596,34.5139,36.8098,0.057665,0.0331713
22/10/2020/11:02:39,2.14285,35.763,37.9059,0.059923,0.033352
22/10/2020/11:03:43,0.274009,17.7198,21.4674,0.061506,0.0338885
22/10/2020/11:04:47,0.17221,16.9036,19.0587,0.061398,0.0306788
22/10/2020/11:05:29,0.71856,7.58856,8.30713,0.060253,0.033726
22/10/2020/11:06:28,5.43241,9.43963,16.2731,0.061062,0.0302056
22/10/2020/11:07:30,0.776237,15.7491,17.6672,0.061194,0.0313546
22/10/2020/11:09:02,0.780351,11.9387,12.719,0.059619,0.00829294
22/10/2020/11:10:36,3.50078,32.021,37.833,0.060433,0.0330959
22/10/2020/11:11:41,3.12612,13.6789,20.9932,0.060149,0.0339034
22/10/2020/11:13:14,2.25398,31.9896,38.2171,0.0577,0.0336468
22/10/2020/11:14:49,0,48.3508,48.3508,0.056669,0.0429967
22/10/2020/11:15:53,2.34919,16.1444,19.3003,0.057592,0.0312275
22/10/2020/11:16:55,6.58854,12.3992,19.5452,0.058251,0.0332238
22/10/2020/11:18:09,4.12722,10.463,19.7867,0.059795,0.0234024
22/10/2020/11:19:12,2.98283,12.4129,19.13,0.05683,0.0320171
22/10/2020/11:20:13,6.96024,11.4637,18.424,0.060414,0.0321718
22/10/2020/11:21:47,6.4766,30.0697,38.1807,0.058938,0.0336283
22/10/2020/11:22:48,1.04727,14.5196,19.4059,0.05838,0.0341548
22/10/2020/11:24:22,1.22761,11.1137,12.3413,0.058474,0.00767669
22/10/2020/11:25:56,1.83789,26.4129,37.8041,0.056841,0.0331158
22/10/2020/11:27:33,1.90349,36.7205,39.5083,0.060391,0.0345096
22/10/2020/11:29:07,2.07697,35.5395,37.6164,0.058617,0.0334348
22/10/2020/11:30:09,6.34723,10.0362,17.5274,0.059222,0.0309657
