time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
22/10/2020/13:50:37,4.6246,0,4.6246,0,0
22/10/2020/13:53:49,5.31772,0,5.31772,0,0
22/10/2020/13:57:34,5.51706,0,5.51706,0,0
22/10/2020/14:01:26,6.08423,0,6.08423,0,0
22/10/2020/14:05:03,5.81822,0,5.81822,0,0
22/10/2020/14:08:06,3.83159,0,3.83159,0,0
22/10/2020/14:22:19,1.6816,10.3067,12.198,0.058439,0.0293173
22/10/2020/14:26:41,0.137807,10.7153,13.7752,0.053575,0.020573
22/10/2020/14:46:35,0.241186,3.85606,4.09725,0.041184,0.0224644
22/10/2020/14:47:28,0.282917,3.13631,4.54563,0.040547,0.0223204
22/10/2020/14:48:20,0.123539,3.64199,4.58579,0.045081,0.0225275
22/10/2020/14:50:53,0.274306,21.7642,22.0385,0.049527,0.0225811
22/10/2020/14:51:47,0.124025,2.54661,4.51364,0.045847,0.0222719
22/10/2020/14:54:03,0.315789,16.4877,18.2916,0.054569,0.0221804
22/10/2020/14:56:46,0.847749,21.3534,23.2733,0.047897,0.0228323
22/10/2020/14:58:42,0.115089,11.4346,15.1367,0.063867,0.0224663
22/10/2020/15:01:33,0.689175,23.6376,24.3267,0.048237,0.0227329
22/10/2020/15:03:27,0.223466,9.48633,14.3855,0.046784,0.0221667
22/10/2020/15:04:59,0.557425,9.41276,10.94,0.047286,0.0222661
22/10/2020/15:06:54,0.310662,12.0751,14.359,0.048057,0.0219449
22/10/2020/15:09:47,0.757652,24.4072,25.4042,0.051873,0.0235649
22/10/2020/15:12:44,0.731429,22.9717,24.7823,0.050831,0.0224374
22/10/2020/15:14:19,0.396387,8.69871,11.496,0.050191,0.0228474
22/10/2020/15:16:12,1.11067,10.8409,14.3804,0.052026,0.0225665
22/10/2020/15:18:59,1.3739,20.5504,23.9076,0.0522,0.0230628
22/10/2020/15:21:42,0.883849,22.3048,23.4928,0.048992,0.0235532
22/10/2020/15:22:44,0.254484,4.21559,5.85488,0.04818,0.0228785
22/10/2020/15:24:50,0.931621,13.5046,16.4103,0.048789,0.0218199
22/10/2020/15:26:36,0.648772,11.6866,13.2352,0.054638,0.0230364
22/10/2020/15:27:34,0.165921,4.70773,5.42239,0.051031,0.0229613
22/10/2020/15:29:06,0.148734,7.75768,10.9979,0.04932,0.0229392
22/10/2020/15:31:00,0.534672,10.6063,14.7401,0.052105,0.0228094
22/10/2020/15:32:00,0.108626,5.25907,5.67565,0.048547,0.0231344
22/10/2020/15:34:50,1.55874,22.1952,23.7539,0.048316,0.0224216
22/10/2020/15:37:40,1.08987,19.5988,24.3017,0.055068,0.0228018
22/10/2020/15:39:27,0.608769,9.52071,13.2341,0.054265,0.0227771
22/10/2020/15:41:12,0.297936,9.08783,12.6163,0.046771,0.0211143
22/10/2020/15:44:03,0.929116,20.2352,23.2832,0.053189,0.02215
