track_porto, 15, 4, racecar2, floating_box4, 1
track_porto, 15, 4, floating_box4, racecar2, 2
track_porto, 15, 4, floating_box4, racecar2, 3
track_porto, 15, 4, floating_box, racecar2, 4
track_porto, 15, 4, racecar2, porto_track, 5
track_porto, 15, 4, racecar2, floating_box4, 6
track_porto, 15, 4, racecar2, floating_box, 7
track_porto, 15, 4, racecar2, floating_box, 8
track_porto, 15, 4, floating_box4, racecar2, 10
track_porto, 15, 4, floating_box4, racecar2, 11
track_porto, 15, 4, racecar2, floating_box2, 12
track_porto, 15, 4, floating_box, racecar2, 13
track_porto, 15, 4, racecar2, floating_box, 14
track_porto, 15, 4, floating_box4, racecar2, 15
track_porto, 15, 4, racecar, racecar2, 16
track_porto, 15, 4, racecar2, floating_box, 17
track_porto, 15, 4, floating_box2, racecar2, 18
track_porto, 15, 4, floating_box2, racecar2, 19
track_porto, 15, 4, racecar2, floating_box4, 20
track_porto, 15, 4, floating_box4, racecar2, 21
track_porto, 15, 4, racecar, racecar2, 22
track_porto, 15, 4, racecar2, porto_track, 23
track_porto, 15, 4, racecar2, floating_box, 24
track_porto, 15, 4, racecar2, porto_track, 25
track_porto, 15, 4, floating_box2, racecar2, 26
track_porto, 15, 4, floating_box, racecar2, 27
track_porto, 15, 4, floating_box, racecar2, 28
track_porto, 15, 4, racecar2, floating_box, 29
track_porto, 15, 4, racecar2, floating_box, 30
