racecar2,0.15962099125364432, 6.33, 1
racecar,0.152332361516035, 7.406, 1
racecar,0.13119533527696792, 6.298, 2
racecar2,0.17419825072886297, 7.373, 2
racecar,0.16472303206997085, 7.385, 3
racecar2,0.17419825072886297, 6.98, 3
racecar2,0.1749271137026239, 7.351, 4
racecar,0.14358600583090378, 7.345, 4
racecar,0.15743440233236153, 7.282, 5
racecar2,0.1749271137026239, 7.301, 5
racecar,0.16472303206997085, 7.3629999999999995, 6
racecar2,0.1749271137026239, 7.37, 6
racecar,0.15379008746355685, 7.293, 7
racecar2,0.1749271137026239, 7.31, 7
racecar,0.15379008746355685, 7.337, 8
racecar2,0.1749271137026239, 7.3629999999999995, 8
racecar,0.1348396501457726, 6.203, 9
racecar2,0.15743440233236153, 6.207, 9
racecar,0.15379008746355685, 7.518, 10
racecar2,0.1749271137026239, 7.394, 10
racecar2,0.1749271137026239, 7.411, 11
racecar,0.15451895043731778, 7.408, 11
racecar,0.15379008746355685, 7.638, 12
racecar2,0.1749271137026239, 7.65, 12
racecar2,0.1749271137026239, 7.442, 13
racecar,0.16545189504373178, 7.437, 13
racecar,0.16472303206997085, 7.369, 14
racecar2,0.1749271137026239, 7.358, 14
racecar,0.16472303206997085, 7.417, 15
racecar2,0.1749271137026239, 7.432, 15
racecar,0.16545189504373178, 7.3629999999999995, 16
racecar2,0.17346938775510204, 7.002, 16
racecar,0.16545189504373178, 7.267, 17
racecar2,0.1749271137026239, 7.266, 17
racecar,0.152332361516035, 7.393, 18
racecar2,0.17419825072886297, 7.393, 18
racecar2,0.1749271137026239, 7.761, 19
racecar,0.15816326530612246, 7.395, 19
racecar,0.16399416909620992, 7.477, 20
racecar2,0.17419825072886297, 7.49, 20
racecar,0.16545189504373178, 7.408, 21
racecar2,0.1749271137026239, 7.417, 21
racecar2,0.1749271137026239, 7.379, 22
racecar,0.16472303206997085, 7.381, 22
racecar,0.15379008746355685, 7.771, 23
racecar2,0.17419825072886297, 7.783, 23
racecar,0.16545189504373178, 7.342, 24
racecar2,0.1749271137026239, 7.342, 24
racecar,0.16472303206997085, 7.375, 25
racecar2,0.1749271137026239, 7.394, 25
racecar2,0.1749271137026239, 7.416, 26
racecar,0.1552478134110787, 7.249, 26
racecar2,0.1749271137026239, 7.453, 27
racecar,0.15451895043731778, 7.455, 27
racecar2,0.1749271137026239, 7.342, 28
racecar,0.16545189504373178, 7.344, 28
racecar,0.16545189504373178, 7.336, 29
racecar2,0.1749271137026239, 7.337, 29
racecar,0.16472303206997085, 7.397, 30
racecar2,0.1749271137026239, 7.396, 30
