racecar2,2.2444950645406228, 25.635, 1
racecar2,5.330296127562642, 57.544, 2
racecar,5.363705391040243, 57.541, 2
racecar2,3.254365983295368, 35.947, 3
racecar,2.357630979498861, 35.103, 3
racecar2,5.201214882308276, 57.423, 4
racecar,4.399392558845862, 57.423, 4
racecar2,4.252847380410023, 46.933, 5
racecar,3.4039483675018984, 46.925, 5
racecar,4.406226271829916, 57.226, 6
racecar2,5.2498101746393315, 57.246, 6
racecar,5.353834472285497, 57.577, 7
racecar2,5.29384965831435, 57.588, 7
racecar2,3.1890660592255125, 34.572, 8
racecar,2.4009111617312073, 35.79, 8
racecar,0.4024297646165528, 14.523, 9
racecar2,1.2718299164768414, 14.521, 9
racecar,5.364464692482915, 57.426, 10
racecar2,5.311313591495824, 57.472, 10
racecar,4.394836750189826, 57.052, 11
racecar2,5.266514806378132, 57.477, 11
racecar,4.400911161731207, 57.364, 12
racecar2,5.261958997722096, 57.377, 12
racecar,1.3978739559605162, 25.127, 13
racecar2,2.2566438876233863, 25.15, 13
racecar,2.4001518602885348, 46.579, 14
racecar2,4.266514806378132, 46.555, 14
racecar,0.4009111617312073, 14.634, 15
racecar2,1.2718299164768414, 14.628, 15
racecar2,4.290053151100987, 47.272, 16
racecar,3.4009111617312073, 47.105, 16
racecar,0.404707668944571, 25.417, 17
racecar2,2.2627182991647685, 25.223, 17
racecar,5.3219438116932425, 57.482, 18
racecar2,5.253606681852696, 57.487, 18
racecar,1.3515565679574792, 15.132, 19
racecar2,1.2505694760820045, 15.142, 19
racecar,5.356112376613516, 57.521, 20
racecar2,5.269552012148823, 57.527, 20
racecar,0.4009111617312073, 14.685, 21
racecar2,1.2649962034927866, 14.7, 21
racecar2,4.255125284738041, 46.324, 22
racecar,3.399392558845862, 46.517, 22
racecar2,2.26044039483675, 25.246, 23
racecar,1.4031890660592254, 25.259, 23
racecar,5.330296127562642, 57.629, 24
racecar2,5.318147304479878, 58.731, 24
racecar2,2.2596810933940774, 25.33, 25
racecar,0.3895216400911162, 25.308, 25
racecar2,5.264236902050114, 57.318, 26
racecar,4.400911161731207, 57.316, 26
racecar,2.4001518602885348, 35.85, 27
racecar2,3.2649962034927866, 35.783, 27
racecar2,2.270311313591496, 25.344, 28
racecar,1.40167046317388, 25.348, 28
racecar2,2.258921791951405, 24.994, 29
racecar,1.398633257403189, 24.999, 29
racecar,4.402429764616553, 57.564, 30
racecar2,5.257403189066059, 57.555, 30
