racecar2,0.15962099125364432, 6.33, 1
racecar,0.152332361516035, 7.406, 1
racecar,0.13119533527696792, 6.298, 2
racecar2,0.17419825072886297, 7.373, 2
racecar,0.16472303206997085, 7.385, 3
racecar2,0.17419825072886297, 6.98, 3
racecar2,0.1749271137026239, 7.351, 4
racecar,0.14358600583090378, 7.345, 4
racecar,0.15743440233236153, 7.282, 5
racecar2,0.1749271137026239, 7.301, 5
racecar,0.16472303206997085, 7.3629999999999995, 6
racecar2,0.1749271137026239, 7.37, 6
