racecar,5.351556567957479, 57.615, 1
racecar2,5.309794988610478, 57.615, 1
racecar,5.34624145785877, 57.497, 2
racecar2,5.292331055429005, 57.457, 2
racecar,0.39863325740318906, 14.237, 3
racecar2,1.2657555049354594, 14.453, 3
racecar,1.398633257403189, 25.35, 4
racecar2,2.2649962034927866, 25.5, 4
racecar,5.350037965072134, 57.621, 5
racecar2,5.218678815489749, 56.377, 5
racecar,1.4001518602885346, 25.198, 6
racecar2,2.1845102505694762, 24.026, 6
racecar,5.336370539104024, 57.442, 7
racecar2,5.317388003037205, 57.442, 7
racecar,2.4031890660592254, 35.857, 8
racecar2,3.2574031890660593, 35.501, 8
racecar2,5.290053151100987, 57.268, 9
racecar,5.363705391040243, 57.454, 9
racecar,0.39863325740318906, 14.361, 10
racecar2,1.2672741078208047, 14.355, 10
racecar,5.34092634776006, 57.479, 11
racecar2,5.29081245254366, 57.487, 11
racecar,5.33788914198937, 57.467, 12
racecar2,5.284738041002278, 57.474, 12
racecar,1.3993925588458618, 25.697, 13
racecar2,2.2695520121488233, 25.596, 13
racecar2,5.29081245254366, 57.442, 14
racecar,5.353834472285497, 57.438, 14
racecar,5.339407744874715, 57.442, 15
racecar2,5.293090356871678, 57.443, 15
racecar,4.3454821564160975, 46.583, 16
racecar2,4.2498101746393315, 46.604, 16
racecar,1.3971146545178437, 24.62, 17
racecar2,2.2672741078208047, 25.036, 17
racecar,1.4001518602885346, 25.321, 18
racecar2,2.2687927107061503, 25.341, 18
racecar2,2.2710706150341684, 25.041, 19
racecar,1.4001518602885346, 25.045, 19
racecar2,4.266514806378132, 46.514, 20
racecar,2.40167046317388, 46.513, 20
racecar,5.335611237661351, 57.467, 21
racecar2,5.238420652999241, 57.098, 21
racecar,4.851936218678816, 52.58, 22
racecar2,4.835231586940015, 52.327, 22
racecar,5.192862566438876, 56.187, 23
racecar2,5.259681093394078, 57.431, 23
racecar2,5.255884586180714, 56.92, 24
racecar,4.400151860288535, 56.92, 24
racecar,2.3743356112376612, 25.636, 25
racecar2,2.1822323462414577, 24.654, 25
racecar,5.358390280941534, 57.488, 26
racecar2,5.29081245254366, 57.495, 26
racecar,5.334092634776006, 57.465, 27
racecar2,5.279422930903569, 57.481, 27
racecar,5.33788914198937, 57.622, 28
racecar2,5.275626423690205, 57.635, 28
racecar,1.3971146545178437, 24.864, 29
racecar2,2.265755504935459, 24.876, 29
racecar2,5.26879271070615, 57.423, 30
racecar,5.325740318906606, 57.447, 30
