0.000000	0.000000
0.000010	0.000000
0.000031	0.000000
0.000061	0.000000
0.000102	0.000000
0.000153	0.000000
0.000213	0.000000
0.000284	0.000000
0.000365	0.000000
0.000455	0.000000
0.000556	0.000000
0.000666	0.000000
0.000786	0.000000
0.000916	0.000000
0.001056	0.000000
0.001205	0.000000
0.001364	0.000001
0.001532	0.000001
0.001710	0.000001
0.001898	0.000001
0.002095	0.000001
0.002302	0.000002
0.002518	0.000002
0.002743	0.000002
0.002978	0.000003
0.003222	0.000003
0.003475	0.000003
0.003737	0.000004
0.004009	0.000005
0.004290	0.000005
0.004580	0.000006
0.004879	0.000007
0.005187	0.000008
0.005504	0.000009
0.005830	0.000010
0.006165	0.000011
0.006509	0.000012
0.006862	0.000014
0.007224	0.000015
0.007594	0.000017
0.007974	0.000019
0.008362	0.000021
0.008758	0.000023
0.009164	0.000025
0.009578	0.000027
0.010000	0.000029
0.010432	0.000032
0.010871	0.000035
0.011320	0.000038
0.011776	0.000041
0.012242	0.000044
0.012715	0.000048
0.013197	0.000052
0.013687	0.000055
0.014186	0.000060
0.014693	0.000064
0.015208	0.000069
0.015731	0.000073
0.016263	0.000078
0.016802	0.000084
0.017350	0.000089
0.017906	0.000095
0.018470	0.000101
0.019042	0.000108
0.019621	0.000114
0.020209	0.000121
0.020805	0.000129
0.021409	0.000136
0.022020	0.000144
0.022639	0.000153
0.023267	0.000161
0.023901	0.000170
0.024544	0.000180
0.025194	0.000189
0.025852	0.000199
0.026518	0.000210
0.027191	0.000221
0.027872	0.000232
0.028560	0.000243
0.029256	0.000256
0.029960	0.000268
0.030671	0.000281
0.031389	0.000294
0.032115	0.000308
0.032848	0.000322
0.033588	0.000337
0.034336	0.000352
0.035091	0.000368
0.035853	0.000384
0.036623	0.000401
0.037400	0.000418
0.038184	0.000436
0.038975	0.000455
0.039773	0.000473
0.040578	0.000493
0.041390	0.000513
0.042210	0.000533
0.043036	0.000555
0.043870	0.000576
0.044710	0.000599
0.045557	0.000622
0.046411	0.000645
0.047272	0.000670
0.048140	0.000695
0.049015	0.000720
0.049896	0.000746
0.050784	0.000773
0.051679	0.000801
0.052581	0.000829
0.053489	0.000858
0.054404	0.000888
0.055326	0.000918
0.056254	0.000950
0.057188	0.000981
0.058130	0.001014
0.059077	0.001048
0.060032	0.001082
0.060992	0.001117
0.061960	0.001153
0.062933	0.001189
0.063913	0.001227
0.064899	0.001265
0.065892	0.001304
0.066891	0.001344
0.067896	0.001385
0.068908	0.001427
0.069926	0.001469
0.070950	0.001513
0.071980	0.001557
0.073016	0.001603
0.074058	0.001649
0.075107	0.001696
0.076162	0.001744
0.077222	0.001793
0.078289	0.001843
0.079362	0.001894
0.080440	0.001946
0.081525	0.001999
0.082615	0.002053
0.083712	0.002108
0.084814	0.002164
0.085922	0.002221
0.087037	0.002280
0.088156	0.002339
0.089282	0.002399
0.090413	0.002461
0.091551	0.002523
0.092694	0.002587
0.093842	0.002651
0.094996	0.002717
0.096156	0.002784
0.097322	0.002852
0.098493	0.002922
0.099669	0.002992
0.100852	0.003064
0.102039	0.003137
0.103233	0.003211
0.104431	0.003286
0.105636	0.003362
0.106845	0.003440
0.108060	0.003519
0.109281	0.003599
0.110507	0.003681
0.111738	0.003763
0.112974	0.003847
0.114216	0.003933
0.115463	0.004019
0.116715	0.004107
0.117973	0.004197
0.119235	0.004287
0.120503	0.004379
0.121776	0.004473
0.123055	0.004567
0.124338	0.004664
0.125627	0.004761
0.126920	0.004860
0.128219	0.004960
0.129522	0.005062
0.130831	0.005165
0.132144	0.005270
0.133463	0.005376
0.134787	0.005483
0.136115	0.005593
0.137448	0.005703
0.138787	0.005815
0.140130	0.005929
0.141478	0.006044
0.142830	0.006160
0.144188	0.006278
0.145550	0.006398
0.146917	0.006519
0.148289	0.006642
0.149666	0.006766
0.151047	0.006892
0.152433	0.007020
0.153823	0.007149
0.155218	0.007280
0.156618	0.007412
0.158023	0.007546
0.159431	0.007682
0.160845	0.007820
0.162263	0.007959
0.163685	0.008099
0.165112	0.008242
0.166544	0.008386
0.167980	0.008532
0.169420	0.008680
0.170865	0.008829
0.172314	0.008980
0.173767	0.009133
0.175225	0.009287
0.176687	0.009444
0.178154	0.009602
0.179624	0.009762
0.181099	0.009924
0.182579	0.010087
0.184062	0.010253
0.185550	0.010420
0.187042	0.010589
0.188538	0.010760
0.190038	0.010933
0.191542	0.011107
0.193051	0.011284
0.194563	0.011462
0.196080	0.011643
0.197600	0.011825
0.199125	0.012009
0.200654	0.012195
