1, 0, racecar, porto_track, 1
3, 0, racecar, porto_track, 3
5, 0, racecar, porto_track, 5
11, 0, racecar, porto_track, 11
13, 0, racecar, porto_track, 13
14, 0, racecar, porto_track, 14
18, 0, racecar, porto_track, 18
21, 0, racecar, porto_track, 21
23, 0, racecar, porto_track, 23
24, 0, racecar, porto_track, 24
26, 0, racecar, porto_track, 26
