4, 6, racecar, porto_track, 4
7, 6, racecar, porto_track, 7
14, 6, racecar, porto_track, 14
19, 6, Cone172, racecar, 19
22, 6, racecar, porto_track, 22
23, 6, racecar, porto_track, 23
24, 6, Cone219, racecar, 24
