09/03/2022/21:52:23,0.186717,0.813283,248.938
09/03/2022/21:53:58,0.228093,0.771907,220.813
09/03/2022/21:55:34,0.296296,0.703704,226.937
09/03/2022/21:57:09,0.282413,0.717587,220.861
09/03/2022/21:58:44,0.150773,0.849227,250.819
09/03/2022/22:00:20,0.182609,0.817391,254.085
09/03/2022/22:01:56,0.308192,0.691808,212.931
09/03/2022/22:03:31,0.173418,0.826582,248.324
09/03/2022/22:05:06,0.197468,0.802532,229.105
09/03/2022/22:06:42,0.249373,0.750627,216.695
10/03/2022/17:56:54,0.298408,0.701592,220.573
10/03/2022/17:58:33,0.198639,0.801361,228.02
10/03/2022/18:00:11,0.184319,0.815681,230.581
10/03/2022/18:01:49,0.194595,0.805405,234.325
10/03/2022/18:03:27,0.0398406,0.960159,447.311
10/03/2022/18:05:04,0.286667,0.713333,227.375
10/03/2022/18:06:41,0.216917,0.783083,211.603
10/03/2022/18:08:17,0.216288,0.783712,218.599
10/03/2022/18:09:55,0.18281,0.81719,234.091
10/03/2022/18:11:34,0.150492,0.849508,215.108
10/03/2022/18:13:11,0.130316,0.869684,215.089
10/03/2022/18:14:48,0.251007,0.748993,212.456
10/03/2022/18:16:26,0.274725,0.725275,217.169
10/03/2022/18:18:03,0.259209,0.740791,216.074
10/03/2022/18:19:40,0.223097,0.776903,216.907
10/03/2022/18:21:17,0.227882,0.772118,226.032
10/03/2022/18:22:55,0.222524,0.777476,218.763
10/03/2022/18:24:32,0.225762,0.774238,207.902
10/03/2022/18:26:10,0.251366,0.748634,219.837
10/03/2022/18:27:46,0.230245,0.769755,208.192
10/03/2022/18:29:23,0.198939,0.801061,241.384
10/03/2022/18:31:01,0.222992,0.777008,192.643
10/03/2022/18:32:38,0.195538,0.804462,243.881
10/03/2022/18:34:15,0.193377,0.806623,243.362
10/03/2022/18:35:51,0.216917,0.783083,220.495
10/03/2022/18:37:28,0.0380711,0.961929,471.63
10/03/2022/18:39:05,0.215364,0.784636,198.382
10/03/2022/18:40:43,0.313779,0.686221,208.166
10/03/2022/18:42:19,0.307692,0.692308,221.17
10/03/2022/18:43:56,0.26,0.74,233.238
