-0.082452, -0.046113
-0.082465, -0.046097
-0.082473, -0.046102
-0.082489, -0.046085
-0.082498, -0.046077
-0.082511, -0.046059
-0.082520, -0.046063
-0.082534, -0.046049
-0.082540, -0.046040
-0.082555, -0.046025
-0.082564, -0.046030
-0.082578, -0.046013
-0.082583, -0.046005
-0.082597, -0.045990
-0.082606, -0.045995
-0.082620, -0.045980
-0.082622, -0.045968
-0.082640, -0.045956
-0.082644, -0.045955
-0.082664, -0.045946
-0.082673, -0.045927
-0.082688, -0.045918
-0.082698, -0.045914
-0.082715, -0.045898
-0.082725, -0.045893
-0.082738, -0.045886
-0.082746, -0.045870
-0.082759, -0.045864
-0.082767, -0.045859
-0.082780, -0.045852
-0.082790, -0.045834
-0.082806, -0.045828
-0.082813, -0.045823
-0.082826, -0.045809
-0.082836, -0.045804
-0.082851, -0.045797
-0.082847, -0.045774
-0.082873, -0.045771
-0.082877, -0.045768
-0.082897, -0.045760
-0.082891, -0.045738
-0.082918, -0.045737
-0.082927, -0.045730
-0.082939, -0.045725
-0.082946, -0.045707
-0.082949, -0.045690
-0.082969, -0.045696
-0.082985, -0.045682
-0.082991, -0.045672
-0.083008, -0.045657
-0.083016, -0.045657
-0.083030, -0.045648
-0.083037, -0.045637
-0.083052, -0.045621
-0.083060, -0.045615
-0.083074, -0.045609
-0.083084, -0.045602
-0.083101, -0.045597
-0.083107, -0.045576
-0.082742, -0.045832
-0.075191, -0.052084
-0.030999, -0.088670
-0.005936, -0.109341
0.044753, -0.151195
0.070186, -0.172209
0.121000, -0.214127
0.146449, -0.235056
0.179673, -0.262339
0.232880, -0.305994
0.258255, -0.326844
0.309265, -0.368667
0.334779, -0.389528
0.387852, -0.433101
0.413346, -0.454015
0.464353, -0.495726
0.489758, -0.516541
0.542362, -0.559547
0.567906, -0.580430
0.618743, -0.621974
0.644270, -0.642834
0.695403, -0.684531
0.720824, -0.705282
0.771850, -0.746906
0.797420, -0.767760
0.848557, -0.809314
0.874124, -0.830085
0.925346, -0.871695
0.976315, -0.913178
1.001906, -0.933971
1.053075, -0.975684
1.079409, -0.997979
1.125835, -1.039691
1.150757, -1.063669
1.197526, -1.110387
1.220632, -1.133858
1.266803, -1.181014
1.289875, -1.204637
1.337323, -1.253343
1.360344, -1.276987
1.408473, -1.326437
1.432177, -1.350800
1.455187, -1.374450
1.501212, -1.421756
1.547232, -1.469057
1.570244, -1.492711
1.616264, -1.540014
1.639270, -1.563664
1.685289, -1.610969
1.708303, -1.634623
1.754317, -1.681925
1.777324, -1.705577
1.807309, -1.736399
1.853323, -1.783701
1.876224, -1.807175
1.922702, -1.853055
1.946304, -1.874999
1.994955, -1.917355
2.022438, -1.939678
2.074626, -1.978903
2.101258, -1.998222
2.154860, -2.036573
2.181777, -2.055669
2.235593, -2.093803
2.262518, -2.112873
2.316487, -2.150881
2.344827, -2.171006
2.398826, -2.211080
2.424394, -2.231341
2.473787, -2.273215
2.497419, -2.294702
2.544057, -2.340147
2.567092, -2.364035
2.612244, -2.411908
2.634775, -2.436018
2.679726, -2.484370
2.702166, -2.508566
2.749070, -2.559172
2.772826, -2.584797
2.809023, -2.623891
2.818710, -2.634349
2.841980, -2.659735
2.860268, -2.680355
2.900811, -2.728688
2.920123, -2.753374
2.959738, -2.806925
2.979023, -2.834023
3.018089, -2.889691
3.036950, -2.916778
3.074599, -2.971023
3.093387, -2.998148
3.130951, -3.052407
3.149728, -3.079545
3.187202, -3.133762
3.205668, -3.160739
3.242564, -3.217727
3.259531, -3.245728
3.296277, -3.311813
3.311165, -3.341142
3.338713, -3.400192
3.351079, -3.429414
3.374216, -3.489786
3.384912, -3.520606
3.403796, -3.582110
3.412112, -3.613102
3.426911, -3.676491
3.433224, -3.708494
3.443242, -3.771725
3.447238, -3.803689
3.453032, -3.868377
3.454772, -3.900612
3.455999, -3.964927
3.455455, -3.999526
3.453228, -4.065558
3.451892, -4.098524
3.448961, -4.167464
3.447488, -4.200435
3.444530, -4.266351
3.443038, -4.299314
3.440067, -4.365197
3.438578, -4.397912
3.435487, -4.465754
3.433978, -4.498718
3.430988, -4.564375
3.429488, -4.597309
3.426481, -4.663237
3.424980, -4.695996
3.421975, -4.761755
3.420448, -4.794697
3.416817, -4.859810
3.414206, -4.891889
3.406834, -4.956781
3.402425, -4.989645
3.393216, -5.054855
3.388508, -5.087515
3.379018, -5.152818
3.373961, -5.187442
3.364410, -5.252746
3.359643, -5.285398
3.350102, -5.350501
3.345020, -5.385122
3.334004, -5.460246
3.329233, -5.492765
3.319660, -5.558003
3.314815, -5.590491
3.304056, -5.654172
3.297319, -5.687776
3.282691, -5.750980
3.273522, -5.787822
3.257751, -5.849798
3.249047, -5.883706
3.232601, -5.947478
3.224348, -5.979419
3.207320, -6.045239
3.198583, -6.079025
3.189836, -6.112779
3.173307, -6.176615
3.165041, -6.208398
3.147961, -6.270708
3.138525, -6.301731
3.116686, -6.365894
3.104626, -6.397777
3.079804, -6.456687
3.066181, -6.486857
3.038427, -6.546734
3.023546, -6.578398
2.995384, -6.638122
2.981265, -6.667965
2.953004, -6.727608
2.938850, -6.757424
2.910522, -6.817051
2.895493, -6.848671
2.867146, -6.908295
2.852972, -6.938104
2.824633, -6.997713
2.810459, -7.027520
2.782112, -7.087137
2.767941, -7.116941
2.738308, -7.179262
2.724138, -7.209058
2.695804, -7.268644
2.681633, -7.298442
2.651572, -7.361661
2.637398, -7.391465
2.609055, -7.451070
2.594026, -7.482681
2.561820, -7.550417
2.547649, -7.580220
2.519308, -7.639828
